slug,question,answer
Selena_Gomez,When was Selena Gomez born?,Selena Gomez was born in 1992.
Selena_Gomez,What does Selena Gomez do?,Selena Gomez works as a singer.
Selena_Gomez,Where was Selena Gomez born?,"Selena Gomez was born in Grand Prairie, Texas."
Ariana_Grande,When was Ariana Grande born?,Ariana Grande was born in 1993.
Ariana_Grande,What does Ariana Grande do?,Ariana Grande works as a singer.
Ariana_Grande,Where was Ariana Grande born?,"Ariana Grande was born in Boca Raton, Florida."
Gigi_Hadid,When was Gigi Hadid born?,Gigi Hadid was born in 1995.
Gigi_Hadid,What does Gigi Hadid do?,Gigi Hadid works as a model.
Gigi_Hadid,Where was Gigi Hadid born?,Gigi Hadid was born in Los Angeles.
Miley_Cyrus,When was Miley Cyrus born?,Miley Cyrus was born in 1992.
Miley_Cyrus,What does Miley Cyrus do?,Miley Cyrus works as a singer.
Miley_Cyrus,Where was Miley Cyrus born?,"Miley Cyrus was born in Franklin, Tennessee."
Billie_Eilish,When was Billie Eilish born?,Billie Eilish was born in 2001.
Billie_Eilish,What does Billie Eilish do?,Billie Eilish works as a singer.
Billie_Eilish,Where was Billie Eilish born?,Billie Eilish was born in Los Angeles.
Halsey_(singer),When was Halsey born?,Halsey was born in 1994.
Halsey_(singer),What does Halsey do?,Halsey works as a singer.
Halsey_(singer),Where was Halsey born?,"Halsey was born in Edison, New Jersey."
Kylie_Jenner,When was Kylie Jenner born?,Kylie Jenner was born in 1997.
Kylie_Jenner,What does Kylie Jenner do?,Kylie Jenner works as a model.
Kylie_Jenner,Where was Kylie Jenner born?,Kylie Jenner was born in Los Angeles.
Dakota_Fanning,When was Dakota Fanning born?,Dakota Fanning was born in 1994.
Dakota_Fanning,What does Dakota Fanning do?,Dakota Fanning works as a actor.
Dakota_Fanning,Where was Dakota Fanning born?,"Dakota Fanning was born in Conyers, Georgia."
Demi_Lovato,When was Demi Lovato born?,Demi Lovato was born in 1992.
Demi_Lovato,What does Demi Lovato do?,Demi Lovato works as a singer.
Demi_Lovato,Where was Demi Lovato born?,"Demi Lovato was born in Albuquerque, New Mexico."
Emma_Roberts,When was Emma Roberts born?,Emma Roberts was born in 1991.
Emma_Roberts,What does Emma Roberts do?,Emma Roberts works as a actor.
Emma_Roberts,Where was Emma Roberts born?,"Emma Roberts was born in Rhinebeck (village), New York."
Kendall_Jenner,When was Kendall Jenner born?,Kendall Jenner was born in 1995.
Kendall_Jenner,What does Kendall Jenner do?,Kendall Jenner works as a model.
Kendall_Jenner,Where was Kendall Jenner born?,Kendall Jenner was born in Los Angeles.
Zendaya,When was Zendaya born?,Zendaya was born in 1996.
Zendaya,What does Zendaya do?,Zendaya works as a actor.
Zendaya,Where was Zendaya born?,"Zendaya was born in Oakland, California."
Shailene_Woodley,When was Shailene Woodley born?,Shailene Woodley was born in 1991.
Shailene_Woodley,What does Shailene Woodley do?,Shailene Woodley works as a actor.
Shailene_Woodley,Where was Shailene Woodley born?,"Shailene Woodley was born in San Bernardino, California."
Saoirse_Ronan,When was Saoirse Ronan born?,Saoirse Ronan was born in 1994.
Saoirse_Ronan,What does Saoirse Ronan do?,Saoirse Ronan works as a actor.
Saoirse_Ronan,Where was Saoirse Ronan born?,Saoirse Ronan was born in New York City.
Chloë_Grace_Moretz,When was Chloë Grace Moretz born?,Chloë Grace Moretz was born in 1997.
